amfi_code,scheme_name,fund_house,category,expense_ratio_pct,CAGR_3Y,Sharpe Ratio,Alpha,Maximum Drawdown (%),CAGR Rank,Sharpe Rank,Alpha Rank,Expense Rank,MDD Rank,Fund Score,Overall Rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,1.46,34.16270308330907,1.4482911703262598,0.2698375144191807,-11.265729075028275,2.0,1.0,7.0,23.0,8.0,85.89743589743588,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,1.36,31.517892672156343,1.1801011976606492,0.2926358334175106,-18.188513572116292,5.0,5.0,3.0,15.0,25.0,81.7948717948718,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,1.45,29.691887767928172,1.3067439695428409,0.27330465038306057,-12.97396816518679,7.0,2.0,5.0,22.0,13.0,81.53846153846152,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,1.38,32.44689799394218,1.093698743534631,0.2719535450128533,-16.217208574644847,4.0,7.0,6.0,17.0,20.0,80.25641025641026,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,0.8,33.14477418812227,1.0265242847993001,0.2119482701352573,-12.588275606922517,3.0,10.0,13.0,12.0,12.0,79.48717948717949,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,1.38,35.33436574912896,0.9982309868636413,0.2607666908004223,-20.960883862039193,1.0,11.0,9.0,17.0,28.0,76.41025641025642,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,1.54,30.348209143813353,1.2082665673727175,0.23201007160635082,-15.012385498645331,6.0,4.0,10.0,30.5,17.0,74.16666666666667,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,1.6,28.392401896554876,1.2349300257743294,0.2827036785246582,-16.39674294693263,9.0,3.0,4.0,36.5,21.0,72.24358974358974,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,1.6,28.669133034127125,1.0272133278753695,0.21399784776051212,-11.291596329323072,8.0,9.0,12.0,36.5,9.0,68.14102564102564,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,1.43,26.070491207565148,0.9453082575156095,0.3033696538698332,-28.706005721764548,12.0,14.0,1.0,21.0,36.0,66.53846153846153,10
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,1.61,26.87970659799688,1.1321218524747243,0.26598577542043045,-17.24810575345138,11.0,6.0,8.0,38.0,22.0,65.8974358974359,11
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,1.52,26.931964862637315,0.9497958246616031,0.3005787817097677,-31.171900300634213,10.0,13.0,2.0,26.5,37.0,65.83333333333333,12
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,1.51,22.563239101294542,1.0816591793457042,0.21829397904608644,-17.41407508665723,14.0,8.0,11.0,24.5,23.0,65.7051282051282,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,0.66,15.731340547715856,0.9532794968660104,0.1986859936686296,-11.803493502764296,23.0,12.0,15.0,4.0,11.0,65.12820512820512,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,0.92,18.110271740927807,0.7757902498211205,0.17729754927531766,-15.200013055606398,19.0,18.0,16.0,14.0,18.0,58.205128205128204,15
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,0.72,21.245440307560017,0.6452074382933215,0.15643835948169668,-18.62974313859551,15.0,21.0,22.0,5.5,26.0,57.5,16
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,0.89,19.402919165489642,0.664856998549062,0.1513635464823924,-11.650624505409091,18.0,19.0,23.0,13.0,10.0,57.17948717948718,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,1.57,19.644846512354807,0.8170993373494367,0.17048756803412696,-10.85986215250232,17.0,16.0,19.0,34.0,7.0,54.61538461538461,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,1.42,13.981096072029464,0.7979728586052847,0.17703302365844073,-13.897862823061635,25.0,17.0,17.0,20.0,14.0,52.435897435897445,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,1.52,14.654294897613962,0.9262873467360144,0.20873010086942337,-15.27259422823477,24.0,15.0,14.0,26.5,19.0,52.24358974358975,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,1.41,17.83818890140243,0.6488787755249532,0.1625385327998104,-19.82565826298267,21.0,20.0,20.0,19.0,27.0,49.10256410256411,21
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,0.74,7.3848286009966735,0.4957233929533123,0.06746210411099539,-0.09773140045925555,27.0,23.0,31.0,7.0,1.0,48.205128205128204,22
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,0.75,20.178170681889963,0.12961449795669328,0.08232801295222093,-21.751396370148225,16.0,29.0,28.0,8.0,31.0,46.282051282051285,23
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,1.64,24.769411664629448,0.6195175900829828,0.16211256794033255,-21.539827112383225,13.0,22.0,21.0,39.5,30.0,44.80769230769231,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,1.54,17.963796293180543,0.46403744922047774,0.13173190226099432,-14.844576917771747,20.0,25.0,24.0,30.5,16.0,43.01282051282051,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,0.78,11.65877484192228,0.30061192104254786,0.11989100971217971,-21.11727956013212,26.0,27.0,26.0,10.0,29.0,40.641025641025635,26
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,0.6,6.702548562464972,-0.08874729621557288,0.06455677495375998,-0.11629327956168556,30.0,34.0,32.0,3.0,2.0,39.61538461538461,27
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,1.59,17.203488748597163,0.4942725378672349,0.13042924450705445,-17.57361416468729,22.0,24.0,25.0,35.0,24.0,37.82051282051282,28
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,1.53,7.248002533762121,0.44843400890899127,0.1750072167561127,-23.34488614483311,28.0,26.0,18.0,28.5,32.0,35.96153846153846,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,0.55,3.8283619012395853,-0.35662950751436784,0.05074772999976104,-8.316361763638703,34.0,38.0,35.0,1.0,6.0,32.17948717948718,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,0.77,5.913772991980504,-0.22657538662791576,0.05620895216638369,-4.328728923970093,32.0,37.0,34.0,9.0,5.0,32.05128205128205,31
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,0.79,6.315130287745907,-0.8155673679088263,0.060861457957871144,-0.16224980244717857,31.0,40.0,33.0,11.0,3.0,31.153846153846153,32
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,0.56,3.9024959738822806,-0.5670947928476846,0.042817920315060876,-4.308263824636349,33.0,39.0,38.0,2.0,4.0,30.897435897435898,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,1.56,6.902588140180677,0.07599984804658923,0.0780443887615508,-24.003511326274886,29.0,30.0,29.0,33.0,33.0,25.0,34
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,0.72,-1.1676548884575366,-0.05718662582817995,0.048824215945539845,-52.57422117012851,38.0,32.0,36.0,5.5,40.0,21.98717948717949,35
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,1.64,1.2286032984341722,0.03078485095458594,0.0689952982167755,-14.401617909337261,35.0,31.0,30.0,39.5,15.0,21.346153846153843,36
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,1.53,-4.693651885181193,0.16266076928646772,0.10897091901704538,-35.44691649336603,39.0,28.0,27.0,28.5,38.0,20.064102564102566,37
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,1.38,-10.9394027509082,-0.0759735711747892,0.04801595363775955,-51.677753708526566,40.0,33.0,37.0,17.0,39.0,15.12820512820513,38
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,1.51,-0.9514413663362364,-0.20583160785470309,0.02896939786637944,-28.00112356639287,37.0,36.0,40.0,24.5,35.0,12.115384615384613,39
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,1.55,1.0306975687293773,-0.20151706755966936,0.03747580763443281,-24.734440880673304,36.0,35.0,39.0,32.0,34.0,11.41025641025641,40
