amfi_code,scheme_name,fund_house,category,Maximum Drawdown (%),Peak Date,Trough Date,Rank
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,-52.57422117012851,2023-01-17,2025-10-28,1
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,-51.677753708526566,2025-05-22,2026-05-11,2
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,-35.44691649336603,2024-11-21,2026-05-11,3
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,-31.171900300634213,2024-05-03,2025-01-03,4
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,-28.706005721764548,2024-08-28,2025-05-14,5
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,-28.00112356639287,2025-01-07,2026-04-27,6
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,-24.734440880673304,2022-03-30,2022-09-15,7
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,-24.003511326274886,2023-11-09,2024-10-17,8
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,-23.34488614483311,2025-04-09,2026-02-20,9
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,-21.751396370148225,2022-02-24,2023-05-22,10
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,-21.539827112383225,2022-01-03,2022-07-04,11
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,-21.11727956013212,2025-04-04,2025-09-12,12
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,-20.960883862039193,2022-04-14,2022-08-11,13
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,-19.82565826298267,2023-03-31,2023-08-14,14
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,-18.62974313859551,2023-10-30,2024-02-29,15
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,-18.188513572116292,2024-10-24,2025-01-23,16
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,-17.57361416468729,2024-01-09,2025-02-14,17
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,-17.41407508665723,2024-01-02,2024-07-19,18
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,-17.24810575345138,2022-06-06,2022-10-24,19
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,-16.39674294693263,2023-08-10,2023-10-20,20
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,-16.217208574644847,2022-03-11,2022-05-12,21
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,-15.27259422823477,2023-09-05,2024-01-24,22
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,-15.200013055606398,2023-12-22,2025-01-01,23
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,-15.012385498645331,2023-08-24,2024-02-05,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,-14.844576917771747,2022-01-03,2022-02-04,25
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,-14.401617909337261,2023-10-12,2025-02-07,26
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,-13.897862823061635,2023-09-19,2023-11-09,27
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,-12.97396816518679,2022-03-07,2022-04-13,28
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,-12.588275606922517,2022-10-04,2023-05-30,29
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,-11.803493502764296,2024-05-21,2024-09-02,30
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,-11.650624505409091,2022-01-03,2022-06-09,31
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,-11.291596329323072,2023-04-24,2023-07-05,32
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,-11.265729075028275,2023-07-11,2023-10-20,33
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,-10.85986215250232,2022-02-03,2022-03-29,34
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,-8.316361763638703,2023-02-09,2024-02-09,35
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,-4.328728923970093,2024-09-16,2025-04-01,36
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,-4.308263824636349,2023-05-23,2023-07-28,37
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,-0.16224980244717857,2023-09-05,2023-09-12,38
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,-0.11629327956168556,2024-04-12,2024-04-30,39
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,-0.09773140045925555,2025-10-16,2025-10-20,40
